Ticker,Sector,Market Cap,Annual Return (%)
JUBLPHARMA.NS,Healthcare,146160402432,63.33054617645135
SIEMENS.NS,Industrials,2095001894912,40.35217811969562
JSWINFRA.NS,Industrials,566717186048,31.847922580523623
DLF.NS,Real Estate,1720959369216,-6.4459077821301225
UJJIVANSFB.NS,Financial Services,63937208320,-38.246972366709755
ALKEM.NS,Healthcare,600539136000,1.2175340249764854
PFC.NS,Financial Services,1347760816128,0.17756927492358354
SAREGAMA.NS,Communication Services,98049286144,54.46347555110649
GODIGIT.NS,Financial Services,290046050304,2.777777777777768
CELLO.NS,Consumer Cyclical,142448738304,-23.85514547565807
BAYERCROP.NS,Basic Materials,222998200320,-15.306661304181157
GPPL.NS,Industrials,72951037952,-1.394383163936308
FORTIS.NS,Healthcare,465205231616,43.24563230425511
ABREL.NS,Basic Materials,207801122816,39.10576588564434
ENGINERSIN.NS,Industrials,93984661504,-27.462624545960058
GODREJPROP.NS,Real Estate,649049407488,-4.915280053998772
CERA.NS,Industrials,83784024064,-20.21155107512148
NETWORK18.NS,Communication Services,80584916992,-56.59468632955094
UTIAMC.NS,Financial Services,150074032128,39.76635619404163
HSCL.NS,Basic Materials,253801381888,41.06388042642446
GRANULES.NS,Healthcare,141216481280,39.93996171109857
UCOBANK.NS,Financial Services,503706288128,-0.8002268526494327
CROMPTON.NS,Consumer Cyclical,218681540608,11.179673397367939
AADHARHFC.NS,Financial Services,165661065216,16.755191878628505
GMDCLTD.NS,Energy,96433496064,-32.09543967279186
CHALET.NS,Consumer Cyclical,166813466624,2.194570411073782
JMFINANCIL.NS,Financial Services,105478340608,2.81687748177617
NLCINDIA.NS,Utilities,306445746176,-2.6766881829929923
GODREJIND.NS,Industrials,288343883776,3.3618994163642224
DEVYANI.NS,Consumer Cyclical,206537539584,-2.853900016622335
DATAPATTNS.NS,Industrials,117933064192,13.074421220996824
CCL.NS,Consumer Defensive,81585610752,-3.4312379218192968
KARURVYSYA.NS,Financial Services,182078554112,26.98727458286512
OBEROIRLTY.NS,Real Estate,639175950336,35.65813533333924
ZEEL.NS,Communication Services,111717957632,-29.516888039504984
GLENMARK.NS,Healthcare,409200820224,63.129297531147664
NIACL.NS,Financial Services,304698720256,-20.890874078745792
VIJAYA.NS,Healthcare,100407083008,54.13456749048515
AJANTPHARM.NS,Healthcare,349711368192,30.030633854939047
BASF.NS,Basic Materials,200977203200,56.81805157203279
VTL.NS,Consumer Cyclical,127424962560,12.692420618958366
ECLERX.NS,Technology,144255107072,15.568939205970178
AWL.NS,Consumer Defensive,327324401664,-27.981127448627586
APOLLOTYRE.NS,Consumer Cyclical,269028786176,-18.542647774596222
ESCORTS.NS,Industrials,381268754432,19.79159855355381
KIRLOSENG.NS,Industrials,128786423808,31.89802122239862
IFCI.NS,Financial Services,140977045504,12.37499713897705
NATCOPHARM.NS,Healthcare,225104986112,46.882557184734
RECLTD.NS,Financial Services,1175074504704,-1.3100110131578857
KPIL.NS,Industrials,180276494336,44.07778425652089
FLUOROCHEM.NS,Basic Materials,395519164416,-0.5297131416747813
JINDALSAW.NS,Basic Materials,156550021120,0.9578948627960049
METROPOLIS.NS,Healthcare,92418793472,11.90313264029028
SCHAEFFLER.NS,Consumer Cyclical,502064087040,3.4040649213538776
NETWEB.NS,Technology,104041840640,29.290354642263306
TIINDIA.NS,Industrials,625346609152,-19.245728233642012
EQUITASBNK.NS,Financial Services,77365788672,-35.329434905503255
HAVELLS.NS,Industrials,955646476288,17.61442260645365
ACE.NS,Industrials,147108036608,36.415715662653845
ANGELONE.NS,Financial Services,210676957184,-20.17039114470999
KEC.NS,Industrials,222117609472,34.27816514857891
RTNINDIA.NS,Consumer Cyclical,77923622912,-31.30858276685583
BLS.NS,Industrials,180482146304,11.664480830162049
ABFRL.NS,Consumer Cyclical,308715225088,15.55460704208993
APARINDS.NS,Industrials,374035152896,66.44338191520067
ZFCVINDIA.NS,Consumer Cyclical,192024182784,-41.31800952540635
CHENNPETRO.NS,Energy,82928541696,-22.76632866716145
SUNDRMFAST.NS,Consumer Cyclical,219279081472,-17.570315230728063
INOXWIND.NS,Industrials,186638630912,30.077379494284685
ROUTE.NS,Communication Services,78015995904,-19.893601088978507
EXIDEIND.NS,Consumer Cyclical,313777389568,17.48196923889982
ANANDRATHI.NS,Financial Services,151568646144,24.251845612953016
TRENT.NS,Consumer Cyclical,1951783714816,70.48227044226691
KALYANKJIL.NS,Consumer Cyclical,473173098496,27.18625273803785
BLUESTARCO.NS,Industrials,378917617664,70.30088737561732
GSFC.NS,Basic Materials,80751501312,-30.868584842414194
VARROC.NS,Consumer Cyclical,84062871552,5.125260382804453
MASTEK.NS,Technology,80080601088,-2.7321385565061806
IDBI.NS,Financial Services,826321862656,-7.280139655283591
ELECON.NS,Industrials,122129702912,3.0272975789660928
LATENTVIEW.NS,Industrials,89371148288,-4.284766572629373
SUPREMEIND.NS,Industrials,483116679168,-6.771517517160719
POONAWALLA.NS,Financial Services,245018492928,-33.38012617649111
NEWGEN.NS,Technology,164381753344,42.316940220461085
